id,icao24,registration,adep,model,icao_operator
2623990265676923468,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
2628527788704774673,406cbc,G-WLTS,EGDM,BELL 429,
2714923815224685106,407152,G-DSAA,EGDY,AW169,
2720793398875550884,400c5f,G-ECJM,,PIPER PA-28R-201T Turbo Cherokee Arrow Iii,
2777446863543302311,4b1a26,HB-JXM,LSGG,A320-214,
2808122707625063358,40660c,G-FDZY,,BOEING 737-8K5,TOM
2885865632010661340,4069e6,G-SDRY,EGBJ,CESSNA 525C Citationjet Cj4,
3005186461043445058,4009d3,G-FRAS,EGDR,FAN JET FALCON Falcon 20,
3054496042343877626,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
3079395662846952476,4071ef,G-MLAP,EGHQ,AW169,SSP
3092567711896796406,407152,G-DSAA,EGHI,AW169,
3150501751924232313,4ca73f,EI-EBX,EIDW,BOEING 737-8AS,RYR
3171160845326809511,406754,G-EZWC,LSGG,AIRBUS A320-214,EZY
3183169750577892657,40275c,G-AZCV,EGDY,BEAGLE B121 SERIES 2 Pup,
3213563683517795889,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
3218658373851305719,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
3232368066836454740,4009d2,G-FRAR,EGHQ,FAN JET FALCON SERIES D Falcon 20d,
3234567367969541934,4b1a26,HB-JXM,LSGG,A320-214,
3237993007739745353,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
3248710735640002511,40266b,G-BMJL,EGDY,ROCKWELL COMMANDER 114 Commander,
3274926330909402955,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
3281296493249182360,400778,G-SWRD,EGVO,,
3444492182035434062,4ca7b7,EI-EGB,EPKK,BOEING 737-8AS,RYR
3448635944506722325,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
3468960497981482641,4075fb,G-RBHF,EGDY,,
3527065779047215410,4ca8d4,EI-ENI,,BOEING 737-8AS,RYR
3569677506233417651,4caa60,EI-EXE,,BOEING 737-8AS,RYR
3586445981112818419,407cd9,G-LDNG,EGTK,,
3590241377636581558,4018e6,G-AYPU,,PIPER PA-28R-200 Cherokee Arrow,
3606542110745445287,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
3618498394443769221,a1b4b9,N209PB,LFPB,PC-12/45,
3657299814168964422,49131a,CS-DXZ,EDDF,Citation XLS,
3669991901899476586,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
3685248857422205420,40660c,G-FDZY,,BOEING 737-8K5,TOM
3728363410708046585,4046e8,G-CBNO,EGGD,STREAK SHADOW Shadow,
3760010926567938276,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
3761755665898889645,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
3767923500411553183,4ca8d4,EI-ENI,LPFR,BOEING 737-8AS,RYR
3776080284702544182,40668b,G-WPDA,EGGD,EC135 P1,
3802085512429398710,4cac85,EI-HGH,LEMG,,
3826037516002568164,491312,CS-DXR,GMME,Citation XLS,
3848291531453211080,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
3993119924546510566,40660c,G-FDZY,,BOEING 737-8K5,TOM
4027205760178626545,43ea66,M-CDJC,EGGD,King Air 200GT,
4042733231335071201,405200,G-XVIP,,BEECH 200 Super Kingair,
4046182317694043224,aa0ebb,N747YK,EGJJ,310R,
4056635652852464337,4cac85,EI-HGH,,,
4092896322855616569,4011af,G-CEGP,EGGP,BEECH 200 Super Kingair,
4106544896824948187,4d20f3,9H-BSA,EGKB,Hawker Beechcraft Corp Hawker 750,
4198482531158772045,405078,G-HNGE,,IKARUS C42 FB80 Ikarus,
4279317127949032392,40712b,G-SRBM,EGTK,BEECH B300 Super Kingair 350,
4315175483975090693,4cab3d,EJ-REVA,,,
4316682080993039774,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
4321629438059584067,407daa,G-REXB,EGNX,,
4360425265550376431,a0265d,N109CH,,GVI (G650ER),
4385962154103591655,43ecf5,2-FIFI,EGJJ,,
4441897878870424299,4c4c20,YU-TBA,LIMC,560XL Citation XLS+,
4443134943283454719,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
4458047006056499058,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
4484237005975246267,406e80,G-CISE,,PULSAR XP Pulsar,
4490675548331419842,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
4509636100883489809,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
4524119820126969386,4009cb,G-FRAI,EGDY,FAN JET FALCON SERIES E Falcon 20e,
