id,icao24,registration,adep,model,icao_operator
17451251940025060215,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
15322667043798092866,40822b,,EGLF,,
9809494641093059037,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
12899262859509399928,89407f,A9C-BAH,,Gulfstream Aerospace G650,
16076477351530260618,43ec3f,2-CLEV,EIKY,525A CitationJet CJ2,
642730702238118562,407f0e,G-RUKJ,EGPH,Boeing 737-8AS,RYR
7705415429906729367,407152,G-DSAA,EGDM,AW169,
11015125663388529277,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
10334398381642549544,3ce686,D-COPI,LPFR,Pilatus PC-24,PTN
5432229979944796044,407152,G-DSAA,EGHL,AW169,
14641779852299748030,407e3f,G-ECLH,,,
9905559562133609558,4009cb,G-FRAI,EGFF,FAN JET FALCON SERIES E Falcon 20e,
11725215191488399232,4cade5,EI-IGZ,LMML,Boeing 737 MAX 8-200,RYR
6368470809865349813,407f7d,G-JZDC,,Boeing 737-82R,EXS
13295476917586311542,4067f2,G-TAWO,,BOEING 737-8K5,TOM
2465219273251981917,4076dd,G-DRTH,,,
3287635029963774696,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
8363538658000266923,4082ef,,,,
17353508580016539161,407dca,G-HMGC,EGHQ,,
5477904674630477769,4009cd,G-FRAK,EGFF,FAN JET FALCON SERIES D Falcon 20d,
7423307609691331934,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
1088331619913670894,402097,G-BKXF,EGGD,PIPER PA-28R-200 Cherokee Arrow,
1583833593209588816,4ca8e7,EI-ENV,LPFR,BOEING 737-8AS,RYR
18301450582967074720,40710f,G-CJFO,,DA 42 Twin Star,
13636480360238387781,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
6398633960577528376,40116e,G-PORK,EGDY,GRUMMAN AA-5B Tiger,
8741981868812481248,406371,G-CGMV,EGHI,ROKO AERO NG 4HD,
16136167607587203031,400b93,G-RJXL,,EMB-135ER,BMR
18044950667721090241,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
13794918621619347049,40766a,G-CKYL,,,
14886072472296094043,48c2b2,,LEAL,,
14241005288940753254,406127,G-GCDB,,CIRRUS SR20,
12793984639769383803,406127,G-GCDB,,CIRRUS SR20,
8227910232933761078,407152,G-DSAA,EGDM,AW169,
7977953616468022531,4080b1,G-OLGE,,Cirrus SR20,
6280111063355236293,408360,,EGDY,,
11076592195222195529,407f7d,G-JZDC,,Boeing 737-82R,EXS
10964726629781666990,403c75,G-BWUH,,PIPER PA-28-181 Cherokee Archer Iii,
15669532784198591233,400bd3,G-BUJP,,PIPER PA-28-161 Cherokee Warrior Ii,
15448189077185486330,4067f2,G-TAWO,,BOEING 737-8K5,TOM
12131418501243598861,4ca769,EI-EFN,LEMG,BOEING 737-8AS,RYR
11219318620915509186,407152,G-DSAA,EGDY,AW169,
5456787809286127851,48c2ab,SP-RZL,,,
13557994848651584273,407f0e,G-RUKJ,EGPH,Boeing 737-8AS,RYR
12887207848384026624,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
12771251922126470218,4cade0,EI-IGV,LEMG,Boeing 737 MAX 8-200,RYR
11551388580005599825,4b1a29,HB-JXP,LSGG,A320-214 (W),EZS
7042733204719894416,3cedb8,,EDDH,,
3487255327073168007,4d2239,9H-QBI,EPWR,Boeing 737-8AS (W),RYR
5961664914327964447,400d58,G-VWIN,,AIRBUS A340-642,VIR
17469644161687325105,4011b4,G-FCUM,,ROBINSON R44 II Raven Ii,COV
3139543174841798210,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
5199289930201388021,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
1368202984421583750,406d95,G-EZOP,LSGG,AIRBUS A320-214,EZY
4240277312048365639,4011b4,G-FCUM,,ROBINSON R44 II Raven Ii,COV
8955764235729139400,4080b1,G-OLGE,,Cirrus SR20,
17062309662264732237,4076dd,G-DRTH,,,
10382671798632811265,a3e411,N35SN,,35-33,
134349315612656943,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
10478674705892752575,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
7854455430618293272,4008d1,G-BZRS,,EC135 T2+,
9805221997139796053,4008d1,G-BZRS,,EC135 T2+,
17099796409355677822,4ca2ab,EI-DHX,LMML,BOEING 737-8AS,RYR
3275033776425349865,407e3f,G-ECLH,,,
12673547176547708173,43e86d,M-OUSE,EGKB,Citation Mustang,LNX
17791396320083794895,4ca8e7,EI-ENV,EPKK,BOEING 737-8AS,RYR
14646941032773156065,4080c7,,,,
9214361081837039706,400f0b,G-VRED,,AIRBUS A340-642,VIR
3889136569954476560,48c12f,SP-RKP,LEAL,,
3145530846208308240,407f7d,G-JZDC,,Boeing 737-82R,EXS
4188037465148624989,424c74,,EGHL,,
10048831895400077489,406d8f,G-EZOJ,,AIRBUS A320-214,EZY
11093561425908864066,40829e,,EGCC,,
17087332765834725380,4067f2,G-TAWO,,BOEING 737-8K5,TOM
14144557682819841529,407d60,G-OJFA,EGNS,,
1383709755598212356,407f1f,G-RUKM,EGPH,Boeing 737-8AS,RYR
17463665722564979085,3ce997,D-CPTN,LHBP,Pilatus PC-24,PTN
8812479903850812624,4d226b,9H-QCA,LPFR,737-8AS,RYR
7141177520008121830,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
3638773185498416166,48c12e,SP-RKO,,737-8AS (W),RYS
8163828479020758422,4243bc,VQ-BXG,EHRD,Falcon 8X,SHE
5600468189782032474,4082ef,,,,
14554242877989176832,408183,,,,
1677098777704726139,4009cd,G-FRAK,EGHQ,FAN JET FALCON SERIES D Falcon 20d,
8045518395590185571,8940c0,A9C-BHR,,,
15086128832825440541,4d2259,9H-QBB,EPWR,,
2364708891985440514,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
16375297027170996074,407f7d,G-JZDC,,Boeing 737-82R,EXS
15784350830438911423,4009c9,G-FRAF,,FAN JET FALCON SERIES E Falcon 20e,
6259799808605823383,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
13479531729667799491,403bdf,G-BWXA,EGKA,SLINGSBY T67M260 Firefly,
9552448885850238446,4067f2,G-TAWO,,BOEING 737-8K5,TOM
14938978542504065435,407bf5,G-FTFX,EGLC,,
10797745924022067406,4076dd,G-DRTH,,,
15887743075982766477,4d235f,9H-649FX,EDDM,,
5199358623719669056,3cf0b8,,LFRN,,
17068957583902973802,4ca8e7,EI-ENV,LEAL,BOEING 737-8AS,RYR
4751700364065300206,400f0b,G-VRED,,AIRBUS A340-642,VIR
5048492152335194961,401372,G-OMJA,EGLK,PIPER PA-28-181 Cherokee Archer Ii,
4189540800291277144,4080c7,,EGVO,,
4478399336228187362,43c8fa,ZM532,EGDM,,
2344270118023998185,4a5243,YR-TRC,LYBE,Challenger 300,
16654221001193929660,424b12,M-CDBM,,,
13002007419357676990,4076dd,G-DRTH,,,
8658016655485884981,4d23fb,9H-QES,LEMG,,
15081843001954010166,4067f2,G-TAWO,,BOEING 737-8K5,TOM
17529255556122993399,3ce078,D-CMHS,EDLN,,
6067673346451554726,40774d,G-BJYT,EGAA,,
4257020785636648559,407f00,G-LZRI,LCLK,Embraer Praetor 600,CLF
1669871392724077219,8940d9,,EGLF,,
16668397478678062304,ac15a1,N878SC,LEMD,BD-700-1A10,
4250115259220040568,4d23a7,9H-XFX,LFMN,,
1080138864897975082,4007db,G-RJXB,EGPD,EMB-145EP,BMR
15084267729952245301,43f795,,EGJB,,
10282715461686723979,4080c1,G-RUKO,EGPH,Boeing 737-8AS,RYR
5921666076811649907,408360,,,,
1096574961834174972,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
12790569379441537507,4009c9,G-FRAF,EGFF,FAN JET FALCON SERIES E Falcon 20e,
691275088837497832,407bef,G-ETPP,,,
3846999039078093106,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
1660836669244849100,4009c9,G-FRAF,,FAN JET FALCON SERIES E Falcon 20e,
940744554788585401,4cadef,EI-IHE,LMML,Boeing 737 MAX 8-200,RYR
2638852714944766428,4067f2,G-TAWO,,BOEING 737-8K5,TOM
17344566439174942063,407f7d,G-JZDC,,Boeing 737-82R,EXS
5159355742184385211,43ed51,2-EMBR,EGAA,EMB-505 Phenom 300,
474294833270667703,407ab0,G-NJAC,EGLF,,
7869403431247117909,4076dd,G-DRTH,,,
14415273920870123354,50020a,T7-SLXP,EGSH,,
16018328634217610694,43e7ed,M-JJTL,LFPB,PC-XII 47E,
1005346424772328920,407152,G-DSAA,EGDY,AW169,
12044608160177434003,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
12377959745809786194,407152,G-DSAA,,AW169,
1521977146001143221,407152,G-DSAA,EGHI,AW169,
1211116380088670696,4cac85,EI-HGH,,,
3090113743491024789,406d70,G-TUII,,BOEING 787-8 Dreamliner,TOM
7336750190675307511,440141,OE-IJX,,,
6368737895226412899,48c128,SP-RKI,LMML,Boeing 737-8AS (W),RYR
9622942037483232788,424c51,M-INKE,LFMN,Gulfstream G600,
9122886314135432259,4ca8e7,EI-ENV,EPKK,BOEING 737-8AS,RYR
13313723485652398286,400f0b,G-VRED,,AIRBUS A340-642,VIR
9294668393621788600,4ca9a9,EI-HAX,LEAL,,
1694683485884302320,407f7d,G-JZDC,,Boeing 737-82R,EXS
684257121215932830,400a90,G-VNAP,,AIRBUS A340-642,
1991843839439667435,4074b2,G-EZRT,,,
11839413261169277686,4067f2,G-TAWO,,BOEING 737-8K5,TOM
17036576891167434404,407cb4,G-RUKH,EGPH,,
8393683609138792259,4cafd3,EI-GXN,LPFR,737-8AS (W),RYR
1830370005503797757,407e3f,G-ECLH,,,
6181217836090785095,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
6190046902471618241,48e87f,,EGNM,,
6718927059271325927,4ca9c2,EI-EVB,EPKK,BOEING 737-8AS,RYR
12847466433101218908,407152,G-DSAA,EGDY,AW169,
8348567495545650991,4076f4,G-KCMI,EGUB,,
2492876027858516061,4009ca,G-FRAH,EGNV,FAN JET FALCON SERIES D Falcon 20d,
11136544400423673374,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
17263902499215420078,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
16177346606736570371,40756a,G-UZHK,LSGG,A-320neo,EZY
4213968013873684289,405200,G-XVIP,,BEECH 200 Super Kingair,
15586704433885964754,407152,G-DSAA,EGHI,AW169,
11286616687569234821,4009ca,G-FRAH,,FAN JET FALCON SERIES D Falcon 20d,
13683741095685160384,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
420363667616439957,4d02bc,,LFPB,,
253917186250846828,408223,,,,
12618774733632468392,48e9f1,,EPWR,,
16587697148957594677,407f7d,G-JZDC,,Boeing 737-82R,EXS
5082398892137618250,406ed0,G-MOSH,EGDY,PIPER PA-28R-201 Cherokee Arrow Iii,
4648880484244480836,4ca8e7,EI-ENV,,BOEING 737-8AS,RYR
1735273025214429158,4009ca,G-FRAH,,FAN JET FALCON SERIES D Falcon 20d,
13454371649091130971,408360,,,,
11925753419010926486,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
7419560919871816419,4067f2,G-TAWO,,BOEING 737-8K5,TOM
2496304591359789900,4076dd,G-DRTH,,,
15737975188871905548,407990,G-SADB,EGBJ,,
17713247006665710489,4076f4,G-KCMI,EGTE,,
15485248083792860039,407d60,G-OJFA,EGLF,,
5995842785193229982,407aae,G-NJAA,EGJJ,,
11126662376010180392,4d224c,9H-QAT,LEAL,Boeing 737-8AS (W),RYR
15008750960187885956,407b44,G-GMAF,EGJB,,
16822514312393440593,494113,CS-PHS,EIDW,,
1130263123519091361,406cbc,G-WLTS,EGGD,BELL 429,
15293136465042800031,400f0b,G-VRED,,AIRBUS A340-642,VIR
13636984014070090411,40738a,G-ETPC,,G 120TP-A,
13424691147272945227,406ad0,G-FFMV,EGVA,DA 42 M-NG Twin Star,
3795967278254823024,407f7d,G-JZDC,,Boeing 737-82R,EXS
12608041937392799443,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
934691440777104117,406aa7,G-OXFE,EGBJ,PIPER PA-34-220T Seneca V,
12120778549006699208,4d2209,9H-QCL,,737-8AS (W),MAY
10480217148322777600,407b44,G-GMAF,EGJB,,
7954954020006329828,407b18,G-JBHL,EGHI,,
17033711622651984694,4067f2,G-TAWO,,BOEING 737-8K5,TOM
14515956318912561542,40829e,,EGCC,,
14967125199785554870,4069ca,G-CICG,EGLK,IKARUS C42 FB80 Ikarus,
2698348077089001424,408360,,,,
11942344343685000419,400e15,G-FRAD,EGNV,FAN JET FALCON SERIES E Falcon 20e,
11879363396001776946,406ad0,G-FFMV,,DA 42 M-NG Twin Star,
9409937344824756307,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
7619328156408297982,4009d4,G-FRAT,EGNV,FAN JET FALCON Falcon 20,
16570481014316284482,407990,G-SADB,EGTE,,
14463929895202108131,403110,G-KIMB,EGHL,CEA DR300/140,
8213975909999252036,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
11738821393524113297,400f3c,G-CBZX,,MCR-01 ULC Banbi,
3885415057822876114,406aa7,G-OXFE,,PIPER PA-34-220T Seneca V,
16250496545837944302,a3278f,N302JG,EGJB,TBM 700,
17197036374885711343,401ca5,G-BEWR,EGHL,REIMS CESSNA F172N Skyhawk,
7621852431414685541,404273,G-EYOR,EGFF,VANS RV-6,
8032620590950106651,4011b4,G-FCUM,EGHI,ROBINSON R44 II Raven Ii,COV
4609039755085659123,40714e,G-OREZ,EGNR,CESSNA 525 Citation M2,
14704199573908926338,407152,G-DSAA,EGDY,AW169,
14365225454415584941,4060dd,G-CGKN,EGDM,GROB G115E Tutor,
7865277906758456124,407990,G-SADB,EGJB,,
10664442255277351315,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
14502995957748429204,407152,G-DSAA,,AW169,
8687916270816775581,404a79,G-CZMI,EGHI,SKYRANGER SWIFT 912(1) Skyranger,
3621496291816956408,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
2745589990290248920,407935,G-CLKB,EGHI,,
3606140191386374549,400fa6,G-INDC,EGHI,CESSNA T303 Crusader,
9544355059694956854,4079d6,G-EGBW,EGVO,,
9621521965180878183,402967,G-OONE,EGJB,MOONEY M20J Mooney 201,
3811429296117007851,407990,G-SADB,,,
3320127083499412980,a41855,N363KC,,SR22T,
16039020749556629932,4009ca,G-FRAH,,FAN JET FALCON SERIES D Falcon 20d,
1070497589715359906,407152,G-DSAA,EGDY,AW169,
4933119949106624264,4065af,G-DIGA,EGHI,ROBINSON R66 Turbine,
13762125944670201817,407990,G-SADB,EGDY,,
1359065740186513417,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
1239816432812818194,407152,G-DSAA,EGHI,AW169,
13540857280744646987,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
2834257197694768181,424c81,,EICK,,
331546354149276961,407f0e,G-RUKJ,EGPH,Boeing 737-8AS,RYR
2823391773991630891,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
15851452486864114843,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
4166481568944203998,406ad0,G-FFMV,,DA 42 M-NG Twin Star,
9458787943977126113,400f63,G-VWEB,,AIRBUS A340-642,VIR
139880982923309180,408360,,,,
6740132170330888306,40740f,G-ETPH,EGDM,,
4605893152185667606,3cd906,D-CJMK,LEPA,560XL Citation XLS+,AHO
10408323805559371610,461fbd,OH-MAN,LSMP,,
15346251849110153185,4082af,,EGBE,,
8942284949523263089,407d60,G-OJFA,EGLK,,
4677322706393237796,4009d3,G-FRAS,EGXC,FAN JET FALCON Falcon 20,
1840344117166769381,a72491,N56A,,200C,
4373044894436021141,4080c7,,EGVO,,
10628462422592557954,408360,,,,
17754056433714484619,4ca912,EI-EPD,,BOEING 737-8AS,RYR
10932915903820814594,43c955,,EGVA,,
10660821013212374993,4067f2,G-TAWO,,BOEING 737-8K5,TOM
2376706322868327654,407f7d,G-JZDC,,Boeing 737-82R,EXS
14314940274521269617,407765,G-YVIP,EGJJ,,
10010496497710567853,407b44,G-GMAF,EGJB,,
1784695343225280826,4076dd,G-DRTH,,,
14580579690277864535,49130b,CS-DXK,LFPB,Citation XLS,NJE
17912361331331454722,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
9175256900216805351,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
1318809092836170576,40714e,G-OREZ,EGNR,CESSNA 525 Citation M2,
2319769774844967877,4082bb,,EGKB,,
12358360678743075885,43c5dd,ZM403,EGVN,A400M Atlas C.1,SHF
12661818302536397446,4ca912,EI-EPD,LPFR,BOEING 737-8AS,RYR
315123040527007135,407df2,G-DRAK,,,
8946566609288737362,407b44,G-GMAF,EGDY,,
13865008131727091780,401ca5,G-BEWR,EGDY,REIMS CESSNA F172N Skyhawk,
12043787010457553365,4d223b,9H-QCQ,LEAL,737-800,
8350815570250227668,407990,G-SADB,,,
13519058180776732391,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
4971111028252545513,405fd0,G-OSRL,EGKB,LEARJET 45 Learjet,BZE
4031760748805111137,4080b1,G-OLGE,,Cirrus SR20,
4646362177229940989,407990,G-SADB,,,
2954477165186620938,407f7d,G-JZDC,,Boeing 737-82R,EXS
17970644824397327679,4067f2,G-TAWO,,BOEING 737-8K5,TOM
15902879687660511362,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
11565270706307735846,4ca97c,EI-ESV,LEMG,BOEING 737-8AS,RYR
132728547528978372,4caff6,,EPKK,,
11354579692935981780,4080c1,G-RUKO,EGPH,Boeing 737-8AS,RYR
4934473134339525546,407b44,G-GMAF,EGKB,,
342833836448362655,4ca912,EI-EPD,,BOEING 737-8AS,RYR
4469764927480835781,4cae9d,,,,
1315660684744361598,4b027e,HB-AYO,LSGG,,
11551867676398400389,4069b3,G-IPLY,EGBJ,CESSNA 550 Citation Bravo,
13792946543314627420,400db9,G-BFBR,,PIPER PA-28-161 Cherokee Warrior Ii,
17533271187693223295,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
13646201590923482371,400b1c,G-BZTN,EGHI,EUROPA XS Europa,
18115354789062933752,4ca802,EI-EKD,EPWR,BOEING 737-8AS,RYR
13318031099510190846,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
11901629029682164175,400b1c,G-BZTN,EGGD,EUROPA XS Europa,
2024021034251388653,400f3c,G-CBZX,EGGD,MCR-01 ULC Banbi,
7576488274988683671,4ca912,EI-EPD,,BOEING 737-8AS,RYR
18210369268778996155,40155a,G-ARMC,,DHC-1 CHIPMUNK 22A Chipmunk,
9901750809955837259,40668c,G-WPDB,EGTE,EC135 P1,
14398295558576267930,405f12,G-EZTB,,AIRBUS A320-214,EZY
15415132572135356026,407f7d,G-JZDC,,Boeing 737-82R,EXS
9568491537797178164,4080b1,G-OLGE,,Cirrus SR20,
3083391801852142729,4069b3,G-IPLY,EGNJ,CESSNA 550 Citation Bravo,
16911882689332743678,407b44,G-GMAF,EGJB,,
15856015478907988012,4076dd,G-DRTH,EGBB,,
9039199238689786432,407152,G-DSAA,EGDY,AW169,
13685935427998017499,4cafd2,EI-GXM,LMML,,
17961068323092954460,494105,CS-PHE,,Phenom 300,
9461880158852671310,4ca912,EI-EPD,EPKK,BOEING 737-8AS,RYR
8939252489266282966,40824d,,EGHQ,,
9957952498709947965,400f63,G-VWEB,,AIRBUS A340-642,VIR
2006769089175190001,407e5a,G-PAAL,,Piper PA-32-301FT,
5034449391093748672,407e5a,G-PAAL,,Piper PA-32-301FT,
17098838629606586513,4d0281,LX-SUN,EGLF,Piaggio P-180 Avanti,
8111851338404925708,4caee3,,EGKB,,
5139709607697441677,407f7d,G-JZDC,,Boeing 737-82R,EXS
1917048358518670423,48c1a1,SP-RNB,LEAL,Boeing 737-8AS,RYR
1055128977468491683,405f13,G-EZTC,LSGG,AIRBUS A320-214,EZY
9461837069686117779,407b44,G-GMAF,EGJB,,
12689138598054458233,461fbd,OH-MAN,EHRD,,
17146119891931476006,4067f2,G-TAWO,,BOEING 737-8K5,TOM
11484104567710525449,a008cb,N101DW,EGJB,PA-32R-300,
15878382794695088196,407cb4,G-RUKH,EGPH,,
5270076426156892075,4d21e9,9H-QAA,LPFR,,
10611027133014659650,50046c,,EGLL,,
1303713068521085204,4ca912,EI-EPD,,BOEING 737-8AS,RYR
13567737513368628849,4ca245,EI-DCO,EPKK,BOEING 737-8AS,RYR
1929535721353503636,407990,G-SADB,,,
1492312244447491398,424c57,M-JHCI,EGBJ,Cessna 525C Citation CJ4,
6150888883516001417,407990,G-SADB,,,
3463059096824062051,4079d6,G-EGBW,EGTE,,
18222545121298197503,4d23c8,9H-PARTS,EDDF,,
3809690404640382810,406012,G-EZTH,LSGG,AIRBUS A320-214,EZY
2065118402504132442,407dca,G-HMGC,,,
12941025125756507812,407990,G-SADB,,,
13508868329361946684,407990,G-SADB,,,
11464084632811743081,48c223,SP-RSD,EPWR,,
14956985696436557427,407f7d,G-JZDC,,Boeing 737-82R,EXS
3118529370255597270,4ca912,EI-EPD,,BOEING 737-8AS,RYR
2043380854167378642,406cbc,G-WLTS,EGDM,BELL 429,
5552158880493400795,408360,,,,
