month,our_arrivals,caa_total_mov,our_x2,pct_capt
2026-01,376,1558,752,48.3
2026-02,626,1573,1252,79.6
2026-03,999,2311,1998,86.5
2026-04,1298,2730,2596,95.1
2026-05,1329,2774,2658,95.8
