time,callsign,airline,adep,alt_ft
21:08,RYR8945,Ryanair,LGSA,1998
21:57,RUK1133,Ryanair UK,EGPH,1998
22:17,RYR22ZK,Ryanair,GCRR,1998
22:35,EXS159E,Jet2,,1998
23:30,EXS34HS,Jet2,GCRR,1998
