time,callsign,airline,type,height_ft,period
12:39,EXS147L ,Jet2,B738,3050,Day
12:43,TOM5MY  ,TUI,B738,3325,Day
12:45,RYR90UB ,Ryanair,B738,3025,Day
14:13,URO681  ,European Cargo,A346,3525,Day
15:33,RYR560X ,Ryanair,B738,2975,Day
16:17,RYR55SN ,Ryanair,B738,3175,Day
17:13,RYR7148 ,Ryanair,B38M,3200,Day
23:38,TOM57V  ,TUI,B738,3800,Night
23:38,EXS15Q  ,Jet2,B738,2750,Night
