time,callsign,airline,type,height_ft,period
13:02,EXS2L   ,Jet2,B738,2375,Day
13:38,URO681  ,European Cargo,A346,2400,Day
13:49,LAV944P ,AlbaStar,B738,1875,Day
13:51,TOM52G  ,TUI,B738,1900,Day
15:01,RYR73LA ,Ryanair,B738,2725,Day
17:20,EXS47K  ,Jet2,B738,2375,Day
